21/Jan/2015 09:14:00,686;success;788
21/Jan/2015 09:14:14,360;success;151
21/Jan/2015 09:14:36,452;success;129
21/Jan/2015 09:14:47,004;success;184
21/Jan/2015 09:15:02,341;success;122
21/Jan/2015 09:15:12,611;nodatafound;146
21/Jan/2015 09:15:20,398;success;92
21/Jan/2015 09:15:40,488;success;144
21/Jan/2015 09:16:01,956;success;147
21/Jan/2015 09:16:22,750;success;155
21/Jan/2015 09:16:33,853;success;141
21/Jan/2015 09:16:50,657;success;142
21/Jan/2015 09:17:01,500;success;98
21/Jan/2015 09:17:11,963;success;170
21/Jan/2015 09:17:26,221;success;154
21/Jan/2015 09:17:36,756;success;115
21/Jan/2015 09:17:48,785;success;119
21/Jan/2015 09:17:58,294;success;108
21/Jan/2015 09:18:12,777;success;116
21/Jan/2015 09:18:22,702;success;130
21/Jan/2015 09:48:21,575;success;786
21/Jan/2015 10:08:31,799;success;313
21/Jan/2015 10:08:45,474;success;67
21/Jan/2015 10:09:04,992;success;85
21/Jan/2015 10:09:19,974;success;53
21/Jan/2015 10:09:50,302;success;66
21/Jan/2015 10:10:09,655;success;464
21/Jan/2015 10:19:03,215;success;135
21/Jan/2015 10:21:01,100;success;122
