30/Jan/2015 16:55:54,729;success;230
30/Jan/2015 17:21:37,982;success;619
30/Jan/2015 17:21:49,589;success;77
30/Jan/2015 17:44:54,269;success;88
30/Jan/2015 17:45:09,350;success;73
30/Jan/2015 17:45:57,621;success;81
30/Jan/2015 17:46:03,456;success;62
30/Jan/2015 17:52:06,998;nodatafound;90
30/Jan/2015 17:52:09,696;success;416
30/Jan/2015 17:52:15,192;nodatafound;48
30/Jan/2015 17:52:32,576;success;80
30/Jan/2015 17:52:43,594;success;73
30/Jan/2015 17:53:07,184;success;75
30/Jan/2015 17:53:20,116;success;134
30/Jan/2015 18:07:24,343;success;147
