28/Jan/2015 09:58:13,696;success;1112
28/Jan/2015 12:46:56,344;nodatafound;665
28/Jan/2015 12:47:18,730;nodatafound;2121
28/Jan/2015 13:38:19,015;success;652
28/Jan/2015 16:09:18,316;success;231
28/Jan/2015 16:18:33,786;success;833
28/Jan/2015 16:37:41,319;success;647
28/Jan/2015 16:43:18,109;success;854
28/Jan/2015 16:48:00,068;success;169
28/Jan/2015 17:00:27,661;success;2814
28/Jan/2015 17:18:08,073;success;284
28/Jan/2015 17:47:30,564;success;699
28/Jan/2015 17:58:02,486;success;3005
28/Jan/2015 18:24:32,260;success;1041
